CLASS,VALUE
F         ,52800
F         ,54000
F         ,114000
M           ,42778.32
F         ,43425
M           ,111000
M           ,97800
F         ,84000
M           ,32400
M           ,37524
F         ,36000
M           ,34980
F         ,66000
F         ,72000
M           ,78000
M           ,7200
M           ,8400
F         ,45660
M           ,220000.08
M           ,72000
F         ,56755.92
F         ,80400
F         ,47458.68
F         ,48000
M           ,41680.8
M           ,25200
M           ,90000
M           ,39999.96
M           ,66000
M           ,54000
F         ,51137.16
F         ,30000
M           ,105000
M           ,75000
F         ,75048
M           ,18199.92
F         ,7200
M           ,1039.92
M           ,96000
M           ,42000
M           ,88500
M           ,146400
M           ,60000
M           ,31800
F         ,92500.08
M           ,7200
M           ,62500.08
M           ,30000
F         ,37999.92
F         ,57996
F         ,67371.84
F         ,109227.96
F         ,39839.16
M           ,80000.04
F         ,48000
F         ,100000.08
M           ,55200
F         ,43200
M           ,7200
F         ,45340.92
F         ,49800
F         ,1039.92
M           ,120471.48
F         ,94800
F         ,48500.04
F         ,30000
M           ,48000
M           ,66000
M           ,33708
F         ,106530
M           ,56577.6
M           ,39600
M           ,72996
F         ,48000
M           ,128558.28
F         ,91020
F         ,115020
F         ,49200
F         ,42000
M           ,20034
M           ,19999.92
M           ,45000
M           ,120000
F         ,36000
M           ,111999.96
F         ,48000
M           ,33000
F         ,33072
M           ,36000
F         ,42000
M           ,62135.04
M           ,69000
M           ,33841.44
M           ,35692.2
F         ,60000
M           ,37200
F         ,33600
M           ,135000
M           ,49528.08
F         ,72000
M           ,48024
M           ,59850
M           ,18199.92
M           ,72000
M           ,7200
F         ,75000
M           ,100800
M           ,7200
M           ,63303.84
F         ,43240.44
F         ,60000
F         ,51000
F         ,51929.76
M           ,47928.24
M           ,86400
F         ,34725.6
F         ,87600
M           ,45000
M           ,70200
M           ,41266.32
M           ,36000
M           ,31800
F         ,57240
M           ,11439.96
M           ,7200
F         ,47143.92
M           ,43200
F         ,6000
F         ,74400
F         ,36078.24
F         ,7200
M           ,7200
F         ,43023.72
F         ,40200
F         ,32722.2
F         ,72000
F         ,95000.04
M           ,45171.6
F         ,42999.96
F         ,91200
F         ,7800
F         ,43060.08
M           ,36900
M           ,7200
M           ,50400
F         ,36729
F         ,54000
F         ,90000
M           ,60000
F         ,38732.4
M           ,72000
M           ,85499.88
M           ,72000
F         ,48382.2
F         ,67500
F         ,57000
F         ,84000
F         ,45000
M           ,20000.04
M           ,66000
F         ,45000
F         ,58833.24
F         ,18000
M           ,105000
F         ,7200
M           ,45000
F         ,80004
M           ,54000
M           ,77400
F         ,132000
F         ,56000.04
F         ,72000
M           ,110100
M           ,57000
F         ,85800
M           ,44660.76
F         ,43200
M           ,48700.08
M           ,14976
M           ,47169.72
F         ,121794
M           ,36000
M           ,46059
F         ,81471.6
F         ,67500
F         ,37920
F         ,55000.08
M           ,7200
M           ,40401.96
F         ,36999.96
M           ,130200
F         ,85000.08
F         ,114000
F         ,120471.48
M           ,39218.4
F         ,125000.04
F         ,31800
M           ,60000
F         ,70800
F         ,43660.2
F         ,45000
M           ,44400
F         ,27000
M           ,47887.2
M           ,85000.08
M           ,118280.76
F         ,77000.04
F         ,24999.96
F         ,36258
F         ,42000
F         ,26520
M           ,90000
M           ,30000
M           ,7200
M           ,42000
M           ,40500
M           ,7200
F         ,10399.92
F         ,40500
M           ,24000
F         ,62925
F         ,37945.8
M           ,36729
M           ,92000.04
M           ,39000
F         ,75000
F         ,10800
F         ,40631.4
F         ,39000
M           ,92004
F         ,28599.96
F         ,90000
M           ,36000
M           ,276500.04
F         ,31800
M           ,42000
F         ,54999.96
F         ,34200
F         ,40660.32
M           ,46446.84
M           ,113628.96
M           ,91200
F         ,7200
M           ,45930.36
M           ,7200
M           ,20034
M           ,70020
F         ,108000
F         ,160000.08
M           ,33708
M           ,175008
F         ,126069.96
M           ,58185.6
F         ,49200
F         ,146700
M           ,80000.04
F         ,48000
F         ,59826.72
M           ,7200
F         ,7200
M           ,33708
M           ,55200
M           ,37253.16
M           ,7200
F         ,4159.92
F         ,57660
F         ,48000
M           ,60000
M           ,12000
F         ,43200
F         ,55000.08
F         ,7200
F         ,54082.68
F         ,53262.12
F         ,12000
F         ,36000
F         ,10399.92
M           ,57000
M           ,80004
M           ,34653.12
F         ,43812
F         ,200000.04
F         ,50004
M           ,14400
M           ,75000
F         ,40377
F         ,69600
F         ,36000
M           ,46308.6
F         ,48000
M           ,62517.24
M           ,7200
F         ,54000
M           ,30000
F         ,10399.92
F         ,57660
F         ,72000
M           ,93600
M           ,33708
M           ,69450
M           ,60000
M           ,44235.12
M           ,114000
M           ,11520
F         ,131944.92
M           ,126000
F         ,50000.04
M           ,186000
F         ,46800
M           ,24773.88
M           ,7200
F         ,74400
M           ,40802.64
M           ,7200
F         ,90000
F         ,43200
M           ,102000
F         ,48000
F         ,84000
F         ,75120
M           ,40088.04
F         ,39999.96
F         ,138000
F         ,10399.92
F         ,99999.96
F         ,217299.84
F         ,12000
M           ,54000
F         ,100008
M           ,156000
M           ,150000
M           ,140400
F         ,69600
F         ,48000
F         ,79800
M           ,114000
M           ,37200
F         ,31992
M           ,55008
M           ,7200
M           ,116280
M           ,31354.8
F         ,48560.28
M           ,126000
F         ,82500
F         ,33708
F         ,80400
M           ,51000
F         ,40800
F         ,40470
M           ,38064.6
F         ,31119.48
M           ,20735.28
F         ,39000
M           ,8319.96
M           ,50514.96
M           ,42075.12
F         ,50400
F         ,15000
F         ,9099.96
F         ,12000
F         ,51441.84
F         ,44000.04
M           ,78000
F         ,34980
F         ,38745
F         ,79999.92
F         ,56400
M           ,66000
M           ,20400
F         ,45600
F         ,65000.04
F         ,49830
F         ,60000
F         ,140000.04
F         ,38064.6
M           ,51429.96
M           ,84000
M           ,72000
M           ,80000.04
F         ,43200
M           ,48000
F         ,24000
F         ,42000
M           ,45000
M           ,50000.04
M           ,37524
F         ,147600
M           ,7200
M           ,58957.44
F         ,43924.56
M           ,7200
M           ,60000
F         ,24000
M           ,43407
F         ,44590.44
M           ,39999.96
M           ,51000
F         ,90000
M           ,28474.56
F         ,43782.36
M           ,19080
F         ,113526
F         ,135746.4
M           ,66000
M           ,39820.68
F         ,34302.48
M           ,88908.72
F         ,65251.56
F         ,7200
F         ,24000
M           ,8400
F         ,50400
M           ,20018.88
M           ,83760
F         ,42600
M           ,60000
M           ,229092
M           ,3000
F         ,18000
F         ,7200
F         ,36000
F         ,45600
M           ,42000
M           ,32400
F         ,7200
F         ,58200
F         ,102000
M           ,7200
M           ,49680
M           ,30000
F         ,46200
F         ,58800
M           ,7200
M           ,7200
M           ,24000
M           ,31176
M           ,6000
M           ,51420
F         ,32400
F         ,31200
F         ,12300
M           ,7200
F         ,33600
F         ,25200
F         ,48000
M           ,91200
F         ,24000
M           ,7200
M           ,5040
F         ,90000
F         ,18000
M           ,56928
F         ,19054.08
M           ,18000
F         ,7200
F         ,7800
M           ,7200
M           ,205008
F         ,49416
M           ,7200
M           ,57000
M           ,14400
F         ,11700
M           ,78000
M           ,7200
M           ,1200
F         ,2400
F         ,44000.04
M           ,7200
F         ,36000
F         ,7200
M           ,59280
M           ,10848
M           ,33000
M           ,83136
F         ,60000
M           ,7200
M           ,7200
M           ,7200
M           ,7200
F         ,7200
F         ,107040
F         ,83400
F         ,69999.96
M           ,200000.04
M           ,45600
M           ,90060
F         ,44988
M           ,48278.04
F         ,85200
M           ,7200
M           ,7200
F         ,66000
F         ,12000
M           ,18000
F         ,18600
M           ,7200
M           ,7200
F         ,7200
M           ,108000
M           ,78000
F         ,77448
M           ,7200
F         ,7200
M           ,24000
F         ,48000
F         ,81864
M           ,7200
M           ,7200
M           ,54852
M           ,93000
F         ,200000.04
M           ,13500
M           ,45192
F         ,70020
F         ,14400
M           ,49560
M           ,60000
F         ,48000
M           ,14400
F         ,99000
F         ,9225
M           ,7200
M           ,48000
M           ,30000
F         ,35400
F         ,9600
M           ,65000.04
F         ,7200
M           ,7200
F         ,7200
M           ,21684
F         ,44040
F         ,64999.92
F         ,62028
F         ,34152
M           ,30000
M           ,129999.96
F         ,18600
F         ,38010
M           ,7200
F         ,18000
M           ,60000
M           ,72000
M           ,18000
F         ,35400
M           ,7200
M           ,54000
M           ,45600
F         ,7380
M           ,57000
F         ,73800
M           ,71640
M           ,1200
F         ,6000
M           ,43008
M           ,70000.2
M           ,1200
M           ,7200
M           ,63360
F         ,7200
F         ,44988
F         ,7200
F         ,7200
M           ,12000
M           ,39000
M           ,90000
F         ,62040
M           ,7200
F         ,6000
M           ,39760.08
M           ,21684
M           ,29796
F         ,62400
F         ,44400
M           ,7200
M           ,15367.08
F         ,37992
F         ,42000
F         ,22800
M           ,3600
M           ,9600
M           ,7200
F         ,45600
F         ,66000
M           ,12000
M           ,80172
F         ,43644.84
M           ,7680
M           ,36000
M           ,21684
F         ,60000
M           ,7200
F         ,78216
F         ,69600
M           ,30000
F         ,46200
F         ,7200
F         ,201000
F         ,84000
F         ,20286
F         ,64356
F         ,19200
M           ,71352.24
M           ,34800
F         ,10848
M           ,60000
F         ,59160
F         ,48000
M           ,60000
F         ,18600
F         ,63000
F         ,6000
M           ,7200
F         ,84000
M           ,36900
F         ,29796
F         ,51420
F         ,60000
F         ,50352
F         ,37478.52
M           ,45600
M           ,7200
F         ,9000
F         ,60000
F         ,10800
F         ,72000
F         ,62040
F         ,84000
M           ,7200
M           ,34428
M           ,87600
M           ,180000
M           ,7200
M           ,42000
M           ,75600
F         ,72000
M           ,65000.04
F         ,54000
M           ,45000
M           ,9000
F         ,30000
M           ,24000
M           ,50400
F         ,31200
M           ,9600
F         ,14400
F         ,39600
F         ,62400
M           ,15000
M           ,42000
M           ,7200
M           ,7200
F         ,7200
M           ,63360
M           ,74400
F         ,12000
M           ,7200
F         ,11520
F         ,27000
F         ,7200
F         ,7200
M           ,66000
F         ,7200
M           ,90564
F         ,60000
M           ,37800
M           ,4200
M           ,48000
F         ,39000
M           ,7200
M           ,56544
M           ,7200
F         ,36840
F         ,50000.04
M           ,7200
F         ,48278.04
F         ,57999.96
M           ,36000
M           ,18000
M           ,108000
M           ,92400
M           ,30000
M           ,7200
M           ,42000
F         ,21240
M           ,7200
F         ,7800
M           ,66756
F         ,67500
M           ,66000
F         ,44112
M           ,39852
F         ,91200
M           ,7200
M           ,42000
F         ,39000
M           ,36000
F         ,94476
F         ,48084
F         ,63300
F         ,37200
F         ,42000
F         ,50352
F         ,63360
F         ,7200
M           ,34428
F         ,54852
F         ,13548
M           ,35100
M           ,7200
M           ,88020
M           ,36000
F         ,65000.04
F         ,35000.04
F         ,69000
M           ,36000
F         ,7200
F         ,31296
M           ,39708
F         ,12240
M           ,7200
M           ,50400
M           ,600
F         ,90000
F         ,7200
M           ,7200
M           ,21684
M           ,7200
F         ,70560
F         ,60000
M           ,55068
F         ,10399.92
F         ,7200
M           ,60000
F         ,30000
M           ,24600
F         ,42000
F         ,23985
M           ,72000
M           ,13500
F         ,39600
M           ,78000
M           ,7200
F         ,7200
F         ,60000
M           ,70000.2
M           ,6000
F         ,52800
F         ,39780
F         ,36000
M           ,63000
F         ,36939.72
M           ,7200
M           ,36000
M           ,83760
F         ,63000
F         ,26400
M           ,17220
F         ,38352
F         ,46200
F         ,6000
F         ,19200
F         ,51000
M           ,7200
M           ,7200
M           ,7200
F         ,21684
F         ,7200
F         ,36000
M           ,1200
M           ,60000
M           ,7200
M           ,7200
M           ,21684
F         ,81672
F         ,36000
M           ,7200
M           ,128400
M           ,96000
M           ,7200
M           ,7200
M           ,60000
M           ,7200
M           ,7200
M           ,60000
F         ,30000
M           ,7200
M           ,60000
F         ,50400
F         ,54336
M           ,12000
F         ,14400
M           ,60000
F         ,84000
F         ,36000
F         ,36600
M           ,7200
F         ,56400
F         ,24000
M           ,46500
M           ,7200
M           ,72000
F         ,36000
M           ,7200
F         ,108000
M           ,7200
F         ,53400
M           ,36000
M           ,24000
F         ,87180
M           ,94560
M           ,69636
F         ,36000
F         ,60000
F         ,90000
M           ,60000
M           ,30000
M           ,7500
M           ,24000
M           ,30000
F         ,40774.44
M           ,7200
M           ,7200
F         ,39996
M           ,90000
M           ,9000
M           ,79399.92
M           ,75000
F         ,95000.04
F         ,47400
F         ,43200
F         ,14400
F         ,15600
M           ,48648
F         ,48000
F         ,62040
M           ,34200
F         ,14904
F         ,150000
F         ,46998.24
F         ,42000
M           ,24000
M           ,45192
M           ,70380
M           ,59400
F         ,43200
M           ,7200
F         ,60000
M           ,45000
M           ,7200
F         ,7200
M           ,7200
M           ,8319.96
M           ,7200
M           ,108000
F         ,24000
F         ,90564
F         ,7200
M           ,72998.04
M           ,57999.96
F         ,6000
M           ,57600
F         ,2521.44
M           ,72000
M           ,44796
F         ,81672
F         ,21600
F         ,42000
M           ,7200
F         ,45000
M           ,23844
M           ,102000
M           ,54276
F         ,90120
F         ,7200
M           ,45600
F         ,34800
F         ,40656
M           ,43800
F         ,42000
M           ,63000
M           ,12000
M           ,62028
F         ,7200
F         ,68400
F         ,21684
F         ,9000
M           ,96000
M           ,7200
M           ,7200
M           ,7200
F         ,7200
F         ,42000
F         ,36000
M           ,7200
M           ,36000
F         ,22755
F         ,108000
M           ,58440
F         ,7200
M           ,24000
M           ,28800
F         ,50352
M           ,126000
M           ,54000
M           ,60000
M           ,80000.04
M           ,7200
M           ,15600
F         ,47400
F         ,7200
M           ,9600
F         ,82200
M           ,42000
F         ,45387
M           ,7200
M           ,7200
M           ,56484
F         ,80400
F         ,21659.4
M           ,73800
F         ,63360
M           ,7200
M           ,18000
M           ,39852
M           ,7200
M           ,7200
M           ,81000
M           ,41848.08
M           ,29796
M           ,78000
F         ,48000
M           ,48000
M           ,51000
M           ,4800
F         ,26783.64
M           ,14400
M           ,48000
F         ,7200
F         ,77448
M           ,79992
M           ,13548
F         ,40500
M           ,7200
M           ,29796
F         ,48000
F         ,9600
F         ,42000
F         ,72000
F         ,6000
F         ,23400
F         ,22080
M           ,84000
F         ,31200
F         ,50004
F         ,18000
F         ,84000
M           ,63360
M           ,7200
F         ,42000
F         ,51060
F         ,42000
F         ,55200
F         ,49992
F         ,120000
M           ,6000
F         ,7200
M           ,81000
M           ,7200
F         ,25999.92
M           ,7200
M           ,63000
M           ,60000
M           ,1200
F         ,36000
F         ,44988
F         ,60000
M           ,92832
F         ,2400
M           ,80160
M           ,32400
M           ,7200
F         ,24000
F         ,72000
F         ,36000
M           ,72000
F         ,94200
M           ,23844
F         ,55200
F         ,62028
F         ,43476
M           ,63360
M           ,7200
M           ,18000
M           ,33000
M           ,6000
M           ,37080
F         ,6000
M           ,23304
M           ,7200
F         ,39600
F         ,7200
M           ,7200
F         ,40800
M           ,6000
M           ,144000
M           ,48000
F         ,51000
M           ,24000
M           ,6000
M           ,6000
F         ,40200
M           ,40800
M           ,7200
M           ,76692
M           ,21684
M           ,96000
F         ,42000
M           ,7200
M           ,42612
F         ,39000
F         ,49992
M           ,60000
F         ,45600
F         ,43200
F         ,62040
F         ,18000
F         ,56544
M           ,13800
M           ,100000.08
M           ,13548
F         ,24000
M           ,7200
M           ,7200
M           ,7200
M           ,7200
F         ,36000
M           ,20019
M           ,63360
F         ,46200
F         ,62400
M           ,82800
M           ,107148
M           ,60600
M           ,12000
F         ,51600
M           ,54000
F         ,12000
F         ,33144
F         ,54000
M           ,95280
F         ,75000
M           ,7200
M           ,7200
M           ,63360
F         ,55896
M           ,45000
M           ,63360
M           ,90000
M           ,7200
M           ,72000
F         ,6000
M           ,21684
M           ,69000
M           ,7200
M           ,7200
M           ,60996
F         ,121284
M           ,38568
F         ,54000
M           ,84999.96
M           ,7200
F         ,7200
M           ,7200
M           ,128400
F         ,101640
F         ,69000
F         ,108000
F         ,70008
F         ,7200
M           ,62400
M           ,7200
F         ,28080
F         ,7200
M           ,96000
M           ,7200
F         ,36000
M           ,7200
M           ,108000
F         ,13548
F         ,38000.04
M           ,36996
M           ,50400
M           ,58392
F         ,30000
M           ,3600
M           ,7200
M           ,7200
F         ,65004
F         ,6000
F         ,18000
F         ,39000
F         ,19200
F         ,43008
M           ,51000
M           ,13548
F         ,66000
F         ,36000
M           ,7200
M           ,36000
M           ,96000
F         ,15300
M           ,7200
F         ,45225.72
F         ,48000
M           ,36500.04
F         ,90372
M           ,7200
F         ,24600
F         ,50400
F         ,31344
F         ,72000
F         ,18720
M           ,21684
F         ,46200
F         ,126000
F         ,55200
M           ,7200
F         ,42000
F         ,60000
F         ,78000
F         ,7200
F         ,90000
F         ,69120
M           ,72000
M           ,90564
M           ,61000.08
M           ,96000
F         ,31200
M           ,47520
F         ,57600
M           ,34800
M           ,7200
F         ,45000
M           ,36000
M           ,15600
F         ,24000
M           ,59052
M           ,7200
M           ,10848
F         ,36000
F         ,30000
M           ,7200
F         ,45000
F         ,80000.04
F         ,65000.04
M           ,7200
F         ,19200
F         ,50000.04
F         ,18000
F         ,20799.96
F         ,7200
M           ,83907.24
M           ,36000
F         ,71767.2
F         ,74000.04
F         ,128247.12
F         ,21249.96
M           ,73000.08
F         ,67500
M           ,52800
M           ,104774.4
M           ,179826
M           ,55150.08
F         ,50000.04
M           ,42719.64
F         ,136967.16
M           ,50900.16
F         ,46000.08
M           ,34000.08
M           ,94149.96
M           ,70460.16
M           ,80198.88
M           ,59075.4
F         ,101646.24
M           ,52377
M           ,16182.48
F         ,38716.8
F         ,72800.04
F         ,68105.04
M           ,42500.04
F         ,42500.04
M           ,101646.24
M           ,70286.04
F         ,128447.16
F         ,82004.76
F         ,47934.96
M           ,47604
M           ,100526.52
M           ,56764.44
F         ,121561.32
M           ,43113
M           ,48865.56
M           ,52333.2
M           ,58592.04
F         ,95500.08
M           ,62449.92
F         ,42600
F         ,67010.16
M           ,50756.76
M           ,76363.2
M           ,78777.24
F         ,61888.92
F         ,87999.96
M           ,49287.48
F         ,47382.48
F         ,51320.28
F         ,60940.56
M           ,114180.12
M           ,100526.52
M           ,38949.84
F         ,95000.04
F         ,61479.36
F         ,56370.84
M           ,79480.08
F         ,101646.24
F         ,21249.96
F         ,108676.08
F         ,84417.72
M           ,47400
F         ,100526.52
M           ,86244.36
F         ,42500.04
F         ,80926.92
M           ,62069.76
M           ,100012.68
M           ,34000.08
M           ,102277.08
F         ,59000.04
M           ,65333.28
F         ,200000.04
F         ,58202.4
M           ,58800.12
M           ,98362.08
F         ,47000.04
M           ,72610.44
M           ,160000.08
M           ,70103.04
M           ,120109.92
F         ,67800
F         ,53500.08
M           ,72960.48
F         ,121561.32
F         ,114799.08
F         ,62791.68
M           ,79000.2
F         ,115608.12
F         ,63357.24
F         ,84417.72
M           ,100000.08
F         ,38604.12
F         ,77367.12
M           ,67749.84
M           ,36000
F         ,108676.08
M           ,64995.48
M           ,104739.36
M           ,66599.88
F         ,65000.04
M           ,46157.16
M           ,72578.04
M           ,63996
F         ,101252.52
M           ,61129.92
F         ,116592.96
M           ,92893.56
F         ,32364.96
M           ,98245.68
F         ,60198.72
F         ,40790.04
F         ,86861.4
M           ,77367.12
F         ,66669.48
F         ,65000.28
M           ,47010.84
M           ,44999.88
M           ,93222
F         ,80000.04
F         ,43667.64
M           ,82500.12
M           ,99694.44
M           ,117902.64
M           ,74157.24
M           ,34000.08
F         ,75082.92
M           ,60647.76
F         ,60000
F         ,16182.48
M           ,77367.12
M           ,71767.2
M           ,66214.2
F         ,46800
F         ,76726.08
M           ,78357.24
M           ,45957
F         ,45000
M           ,44000.04
M           ,62796.84
M           ,101108.04
F         ,42500.04
M           ,36000.12
M           ,133965
M           ,66855
F         ,63591.12
F         ,43599.96
M           ,48336.96
M           ,138600
M           ,55057.2
M           ,82123.56
M           ,48990
M           ,87087.96
M           ,51500.16
M           ,91399.92
F         ,52500
M           ,65000.04
F         ,85339.2
F         ,59500.08
F         ,37575
M           ,70862.04
M           ,98207.4
M           ,95300.16
M           ,55951.92
M           ,50110.56
F         ,49273.32
F         ,114799.08
M           ,42000
M           ,65051.04
M           ,67988.4
M           ,69243.12
F         ,76280.16
M           ,57500.04
M           ,46254.72
M           ,52000.08
M           ,100807.44
M           ,100385.28
M           ,70648.92
F         ,94913.88
M           ,46000.08
F         ,56665.08
M           ,55268.16
M           ,62338.68
M           ,50100
M           ,124751.16
F         ,56289
M           ,106667.64
M           ,73300.08
M           ,73600.08
M           ,45600
M           ,108206.64
F         ,82500
F         ,52746.36
M           ,87708
M           ,112761.36
F         ,46000.08
M           ,92313.24
M           ,68124.96
F         ,126995.16
M           ,85443.84
F         ,77367.12
M           ,48336.96
M           ,50050.68
F         ,49167.96
M           ,59834.88
M           ,81917.64
M           ,164057.4
F         ,68616
M           ,78100.08
M           ,85499.88
F         ,44840.64
M           ,44330.04
M           ,79000.2
F         ,65000.04
F         ,68500.08
M           ,60500.04
M           ,49876.8
F         ,54846.48
F         ,48377.16
M           ,101331.72
F         ,55000.08
M           ,40144.68
F         ,97503.6
M           ,49504.08
M           ,56000.04
M           ,89359.08
M           ,101646.24
M           ,16182.48
F         ,60000
M           ,58999.92
M           ,56461.2
M           ,92313.24
F         ,47499.96
M           ,70000.08
F         ,52000.08
M           ,87800.4
F         ,68000.16
M           ,95400
F         ,42000.12
F         ,75599.16
M           ,42500.04
M           ,48306.84
M           ,45000
F         ,45600
M           ,67829.64
F         ,59500.08
M           ,91590.84
M           ,65000.04
M           ,41410.68
F         ,16182.48
M           ,75740.76
F         ,65000.04
M           ,40500
M           ,61263
M           ,71767.2
M           ,125337
M           ,56841.72
M           ,42692.04
M           ,77777.16
F         ,46700.04
F         ,41146.56
F         ,112000.08
M           ,49801.8
M           ,55000.08
M           ,66007.44
M           ,72399.96
F         ,43126.32
M           ,131785.92
M           ,92313.24
F         ,93400.08
M           ,77000.16
F         ,43300.08
M           ,46000.08
F         ,37250.16
F         ,92313.24
M           ,51987.84
M           ,74208
M           ,87057.6
M           ,77713.44
F         ,60000
M           ,65000.04
M           ,85004.04
F         ,66704.4
M           ,65000.04
M           ,42999.96
M           ,53810.52
M           ,33364.92
F         ,71767.2
F         ,42000
F         ,51500.16
F         ,71767.2
M           ,50079
F         ,141526.56
F         ,175000.08
M           ,125000.04
F         ,48700.08
M           ,68100
M           ,62663.88
F         ,56250
M           ,83211.24
F         ,58875.48
F         ,42815.04
F         ,71767.2
F         ,83024.28
M           ,37929
M           ,48116.4
M           ,55766.52
F         ,71500.08
F         ,54000
F         ,124751.16
F         ,97895.88
M           ,65050.08
M           ,60927
F         ,152012.52
F         ,97915.32
M           ,57800.04
M           ,34011.96
M           ,65113.32
F         ,43604.16
M           ,141642.96
M           ,50100
M           ,117864.6
F         ,17000.04
M           ,72000
F         ,77367.12
M           ,50719.8
F         ,86052.72
F         ,106918.92
F         ,97436.52
M           ,64380.24
M           ,49603.2
F         ,76599.96
F         ,16182.48
M           ,60003.96
F         ,73101.6
F         ,56000.04
M           ,63000
M           ,54600.12
F         ,92313.24
F         ,57433.92
M           ,46292.64
F         ,67415.16
M           ,90900
F         ,80461.92
M           ,84999.96
F         ,44500.08
M           ,81709.92
F         ,146350.08
F         ,16182.48
M           ,41410.68
F         ,65000.04
M           ,51594.12
M           ,69000
M           ,100526.52
M           ,46766.88
M           ,59745.24
F         ,100526.52
M           ,62437.56
F         ,90000
M           ,51500.04
F         ,59625.12
F         ,130000.08
M           ,212748.96
F         ,68245.2
M           ,65467.56
F         ,83750.04
F         ,57165
F         ,55000.08
M           ,92820
F         ,67308
F         ,115000.08
M           ,50000.04
M           ,111042
M           ,123000
M           ,115000.08
M           ,80325.24
F         ,55000.08
M           ,114425.16
F         ,83750.04
M           ,182000.04
M           ,90100.08
M           ,76290.48
M           ,86145.36
F         ,50000.04
F         ,115000.08
F         ,59385
F         ,71500.08
M           ,126999.96
M           ,92404.8
M           ,45000
M           ,57512.64
F         ,115000.08
F         ,72000
M           ,128000.04
M           ,50000.04
M           ,83880.48
M           ,120000
M           ,95845.2
F         ,48999.96
M           ,138338.04
F         ,64999.92
M           ,84525
M           ,124950
M           ,45000
F         ,120000
M           ,86782.32
M           ,91477.2
F         ,47250
F         ,71400
M           ,149877.96
F         ,50000.04
M           ,110000.04
M           ,219999.96
M           ,182000.04
F         ,120000
M           ,73000.08
F         ,63547.08
F         ,53000.04
M           ,118246.08
F         ,54279.72
F         ,69999.96
F         ,45000
M           ,65600.04
M           ,122223.48
M           ,68040.12
M           ,70000.08
F         ,57512.64
F         ,50000.04
F         ,55335
M           ,50000.04
M           ,91839.24
M           ,98641.44
M           ,70000.08
M           ,197000.04
M           ,100017.24
M           ,110000.04
M           ,48000
M           ,130519.92
M           ,86258.28
F         ,56407.56
F         ,157474.08
F         ,113828.4
M           ,145600.08
M           ,151704
M           ,88345.44
M           ,50055
M           ,115000.08
M           ,66000
F         ,85000.08
F         ,69452.28
F         ,69000
F         ,75000
F         ,105000
F         ,104475.24
F         ,134000.04
M           ,54862.56
M           ,50000.04
M           ,120000
F         ,82500
F         ,68580
F         ,197000.04
F         ,125700
M           ,77975.64
M           ,140079.48
F         ,182000.04
M           ,117201.6
M           ,60229.08
M           ,10399.92
F         ,42000
F         ,131968.68
M           ,30840
F         ,45000
F         ,35277.24
F         ,61401.72
F         ,49383.96
F         ,62490.96
F         ,42000
F         ,44575.92
F         ,51625.32
F         ,58531.8
M           ,29120.04
M           ,49125
F         ,41379.12
F         ,29064.84
F         ,58584.24
M           ,62737.92
F         ,33306.36
F         ,100074.84
M           ,33559.92
F         ,63000
F         ,69999.96
F         ,62400
F         ,47000.04
M           ,90699.96
F         ,87099.96
F         ,60999.96
F         ,90699.96
F         ,90699.96
